record,source,design,patient_level_repeat,eight_signature_coverage,baseline_recoverable,T24_or_T48_recoverable,screening_decision,reason,source_url
GSE13904,GEO,Pediatric whole-blood array; day 1/day 3,YES,Likely,YES,YES,Excluded: same study family/patient overlap,44 patient tokens shared with GSE8121; not independent,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE13904
GSE131411,GEO,Reanalysis/extension of GSE110487,YES,Likely,YES,YES,Excluded: duplicate study family,GEO labels T1/T2 samples as re-analysis of GSE110487,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE131411
E-MEXP-3850,ArrayExpress/BioStudies,Five children; six serial samples over 0-48 h,YES,Not assessable from public files,YES,YES,Excluded after formal change-control review,Public metadata were available but no raw or processed expression matrix could be downloaded to verify formula coverage,https://www.ebi.ac.uk/biostudies/studies/E-MEXP-3850
PRJEB111201,ENA,"Eleven adults; whole-blood RNA-seq on days 1, 3 and 7",YES,Not verifiable on the source-normalized scale,YES,YES,Excluded after formal change-control review,"Raw FASTQ files were public, but no processed subject-by-gene matrix or study-matched quantification workflow was available. Inclusion would require introducing and validating a new raw-read branch after analysis freeze.",https://www.ebi.ac.uk/ena/browser/view/PRJEB111201
phs003608.v1.p1,dbGaP,"Ghana whole-blood RNA-seq at 0, 6, 24, 48 and 72 h",YES,Not verifiable from openly accessible files,YES,YES,Excluded after formal change-control review,The patient-level bulk expression matrix required for the eight formulas is controlled-access and is absent from the open source-data files,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs003608.v1.p1
GSE302306,GEO,Serial CD66b+ neutrophil RNA-seq including septic shock,YES,Not applicable to retained material,Not assessed after material-based exclusion,Not assessed after material-based exclusion,Excluded from current whole-blood/PBL scope,Isolated neutrophils are not equivalent to the retained whole-blood/PBL matrices,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE302306
GSE154918,GEO,Sepsis/shock baseline and follow-up RNA-seq,Unclear,Likely,NO,NO,Excluded,Public metadata do not recover patient-level baseline-follow-up pairs or T24/T48 timing,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE154918
GSE196117,GEO,Sepsis randomized trial; day 1 and day 5,YES,Likely,YES,NO,Excluded,No baseline-to-T24/T48 primary window,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE196117
GSE167363,GEO,PBMC single-cell RNA-seq at T0 and 6 h,YES,Not equivalent,YES,NO,Excluded,Single-cell modality and no T24/T48 landmark,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE167363
GSE69063,GEO,"Peripheral blood at 0, 1 and 3 h",YES,Likely,YES,NO,Excluded,No T24/T48 landmark,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE69063
GSE32707,GEO,Whole blood at day 0 and day 7,Unclear,Likely,Not assessed after time-window exclusion,NO,Excluded,No T24/T48 primary window,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE32707
GSE106878,GEO,Forty-seven septic-shock patients sampled before treatment and 24 h later,YES,Complete,YES,YES,Included after formal change-control review; standalone post-freeze confirmation only,"Public normalized whole-blood array data recovered complete 0-to-24-h pairs and all 74 component genes; the cohort was not added to the frozen primary meta-analysis",https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE106878
GSE119217,GEO,Pediatric suspected-sepsis peripheral-blood array,NO,Likely,NO,NO,Excluded,134 titles are distinct study samples rather than patient-level repeated timepoints,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE119217
GSE100159,GEO,Sepsis/control/recovery blood module-profiling set,Unclear,Targeted platform,NO,NO,Excluded,The deposit does not expose a recoverable patient-level baseline-to-recovery pairing or T24/T48 timing and is not a genome-wide implementation matrix,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE100159
Turgman et al. 2026,Literature,"Sub-Saharan Africa cohort at day 0, day 2/3 and day 28",YES,Likely,YES,YES,Excluded from current public-data analysis,Individual-level expression data are available only under data-use agreement/request,https://ccforum.biomedcentral.com/articles/10.1186/s13054-026-05901-5
